Date,Driver,Category,Title,Impact,Note
2015-01-06,Global,Global Crash,"Global growth scare, China PMI slump",-3.00%,Sensex -3.07%
2015-01-15,RBI,RBI Rally,RBI Surprise cut 25bps to 7.75% - Rajan,+2.63% (+217 pts) to 8463,Bank Nifty ATH 19410
2015-02-28,Budget,Budget,"Union Budget FY15-16 - GAAR defer, Corp tax 30->25%",+0.65% to 8901,Saturday budget
2015-03-04,RBI,RBI,"RBI 2nd unscheduled cut to 7.5%, Sensex 30k cross",-0.82% to 8922,Profit booking after ATH 9122
2015-06-02,RBI,RBI Crash,RBI 25bps to 7.25% hawkish on monsoon,-2.34%,Monsoon fears
2015-08-24,Global,Global Crash,"Black Monday - China Shanghai -8.49%, Yuan deval",-5.92% to 7809,"Rs 7L cr wealth wiped, 1624 pts Sensex crash"
2015-09-29,RBI,RBI Rally,RBI 50bps cut to 6.75% - 4th cut in year,+0.6%,Total 125bps cut in 2015
2015-12-16,Global,Global,US Fed first hike in 9 years 0.25%,-0.5%,FII outflow start
2016-02-11,Global,Global Crash,Global selloff fear,-3.32%,Sensex -3.4%
2016-02-29,Budget,Budget,Budget 2016 - Deficit 3.5% target,-0.6% to 6987,"11-year worst budget day, bottom 6825 made same week"
2016-06-24,Global,Global Crash,Brexit Leave vote,"-2.2% to 8088, intraday -3.62%",Sensex -1000 pts intraday
2016-08-03,Politics,Political Rally,GST Bill passed in Rajya Sabha,+2.2% +184 pts to 8650,GST hope rally
2016-11-08,Politics,Political Crash,Demonetisation announced,-1.3% then -4% next 2 days,Cash ban
2017-07-01,Politics,Political,GST implemented,Flat,Consumption rally starts
2017-12-31,Market,Year End,Nifty yearly close 10500 - 28% up year,+28.6% year,Best year since 2009
2018-02-01,Budget,Budget,Budget 2018 LTCG 10% re-introduced,"-0.10% to 11016, intraday -2.2%",Long term capital gains shock
2018-02-05,Global,Global Crash,"US Dow -1175 worst day, bond yield spike",-2.2%,Fiscal slippage fears
2018-09-21,Corporate,Credit Crisis,IL&FS/DHFL NBFC contagion - DHFL -42%,-2.7%,Sensex -1500 intraday
2018-10-26,Market,Bottom,Nifty low 10004 -15% from ATH 11760,-15% from top,Crude $86 to $50 fall helps recovery
2019-02-01,Budget,Budget,"Interim Budget 2019 PM-KISAN, tax rebate",+0.58%,Populist budget
2019-05-23,Politics,Political Rally,Lok Sabha BJP 303 seats Modi 2.0,+0.76% ATH 12103,Sell on news same day
2019-07-05,Budget,Budget,"Budget FPI surcharge, super-rich tax","-1.14% to 11724, July -6% to 10782",FPI fear
